filename,label,wav_duration,file_path,folder,idx
201101061552.wav,Aunlabelledtest,5.974920634920635,../datasets/challenge2/set_a/Aunlabelledtest__201101061552.wav,a,4
201108222247.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222247.wav,a,49
201106211725.wav,Aunlabelledtest,6.526462585034014,../datasets/challenge2/set_a/Aunlabelledtest__201106211725.wav,a,37
201103011036.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201103011036.wav,a,13
201103241336.wav,Aunlabelledtest,7.921995464852608,../datasets/challenge2/set_a/Aunlabelledtest__201103241336.wav,a,19
201103140236.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201103140236.wav,a,14
2011040239.wav,Aunlabelledtest,3.8702494331065758,../datasets/challenge2/set_a/Aunlabelledtest__2011040239.wav,a,0
201108222234.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222234.wav,a,46
201108222222.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222222.wav,a,43
201106130440.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106130440.wav,a,32
201106120928.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106120928.wav,a,31
201102081033.wav,Aunlabelledtest,7.128140589569161,../datasets/challenge2/set_a/Aunlabelledtest__201102081033.wav,a,10
201106212102.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106212102.wav,a,38
201103170122.wav,Aunlabelledtest,8.615600907029478,../datasets/challenge2/set_a/Aunlabelledtest__201103170122.wav,a,15
201106171155.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106171155.wav,a,35
201103200518.wav,Aunlabelledtest,8.56546485260771,../datasets/challenge2/set_a/Aunlabelledtest__201103200518.wav,a,16
201106170857.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106170857.wav,a,34
201106010807.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106010807.wav,a,23
201106150614.wav,Aunlabelledtest,9.0,../datasets/challenge2/set_a/Aunlabelledtest__201106150614.wav,a,33
201108222225.wav,Aunlabelledtest,7.935555555555555,../datasets/challenge2/set_a/Aunlabelledtest__201108222225.wav,a,44
